10,1,0.00035598,0:00.00
100,1,0.003060224,0:00.00
500,1,0.021459077,0:00.03
1000,1,0.058538088,0:00.10
5000,1,0.97590037,0:02.25
10000,1,4.1627889,0:08.84
10,2,0.00031318,0:00.00
100,2,0.00215956,0:00.00
500,2,0.013287198,0:00.02
1000,2,0.037405488,0:00.08
5000,2,0.55434931,0:01.72
10000,2,2.1772173,0:06.86
10,4,0.000342366,0:00.00
100,4,0.002607658,0:00.00
500,4,0.009611136,0:00.02
1000,4,0.025092157,0:00.07
5000,4,0.31555298,0:01.48
10000,4,1.2518226,0:05.92
10,8,0.001353408,0:00.00
100,8,0.007944582,0:00.01
500,8,0.041451281,0:00.05
1000,8,0.081234262,0:00.13
5000,8,0.250685,0:01.41
10000,8,0.99027474,0:05.67
10,16,0.001241185,0:00.00
100,16,0.009079268,0:00.01
500,16,0.057545405,0:00.07
1000,16,0.10717686,0:00.15
5000,16,0.55614014,0:01.72
10000,16,1.8073803,0:06.48
10,32,0.001328589,0:00.00
100,32,0.011082465,0:00.01
500,32,0.057800985,0:00.07
1000,32,0.058750333,0:00.10
5000,32,0.50429179,0:01.67
10000,32,1.5142876,0:06.21
